"period","mfi","fit","lwr","upr"
"1961-1983",104.508793248589,855.709874049226,718.211818612467,993.207929485984
"1961-1989",105.09842635668,860.909757581868,721.248684325807,1000.57083083793
"1989-2000",95.5543211085723,776.741763905049,669.844504720277,883.639023089821
"2000-2020",99.2699843289216,809.50962535519,690.513639891622,928.505610818759
"1989-2020",97.4381400095236,793.354872543492,680.452222993886,906.257522093097
