"name","elevation","longitude","latitude","mindate","maxdate","n","R2","RMSE"
"STAVROPOL",473,42.02,45.05,"2000-01-01","2020-01-01",237,0.818852017063397,14.4285856881682
"ARMAVIR",159,41.1167,44.9831,"2000-01-01","2020-01-01",240,0.555721386631943,25.0649288249029
"MINERAL NYE VODY",316,43.1,44.2,"2000-01-01","2020-01-01",237,0.555028568603712,23.7077605149139
"SHADZHATMAZ",2070,42.67,43.73,"2000-01-01","2020-01-01",237,0.874432096391346,15.4434095143981
"VLADIKAVKAZ",668,44.65,43.05,"2000-01-01","2019-06-01",222,0.865943819179782,23.2567980387924
"TERSKOL",NA,NA,NA,"1977-01-01","2018-12-01",504,0.425820871347604,39.4209224802455
